,term,definition
475,Government Bond Treasury,"Treasury funds seek income by generally investing at least 80% of their assets in U.S. Treasury securities. Although the fund may be comprised of securities backed by the full faith and credit of the U.S. Government for the prompt payment of principal and interest at maturity, the fund itself is not guaranteed by the U.S. Government."
476,"Government National Mortgage Association (GNMA or ""Ginnie Mae"")","An agency of the federal Department of Housing and Urban Development empowered to provide special assistance in financing home mortgages which is responsible for management and liquidation of federally owned mortgage portfolios. GNMA guarantees, with the full faith and credit of the U.S. Government, full and timely payment on mortgage-backed securities."
477,Government Securities,"Any debt obligation issued by a government or its agencies (e.g., Treasury Bills issued by United States)."
478,Growth and Income Fund,A fund that has a dual strategy of growth or capital appreciation and current income generation through dividends or interest payments.
479,Growth Fund,A fund that invests primarily in the stocks of companies that have the potential for above-average gains. These companies often pay small or no dividends and their stock prices tend to have the most ups and downs from day to day.
480,"Growth of Hypothetical $10,000","This data point, usually shown as a graph, shows how the value of a hypothetical investment of $10,000 in a fund would have changed over time. It can also be used to compare the fund's historical performance against a benchmark or Morningstar Category average. This measurement does not include fees, although it assumes the reinvestment of all dividend and capital gains distributions."
481,Growth Stocks,Stocks of companies that have shown or are expected to show rapid earnings and revenue growth. Growth stocks are riskier investments than most other stocks and usually make little or no dividend payments to shareholders.
482,Health,"Health portfolios focus on the medical and health-care industries. Most invest in a range of companies, buying everything from pharmaceutical and medical-device makers to HMOs, hospitals, and nursing homes. A few portfolios concentrate on just one industry segment, such as service providers or biotechnology firms."
483,High Yield Municipal,These funds invest at least 50% of assets in high-income municipal securities that are not rated or that are rated by a major agency such as Standard & Poor's or Moody's at the level of BBB (considered speculative in the municipal industry) and below.
484,High-Yield Bond,"High-yield bond portfolios concentrate on lower-quality bonds, which are riskier than those of higher-quality companies. These portfolios generally offer higher yields than other types of portfolios, but they are also more vulnerable to economic and credit risk. These portfolios primarily invest in U.S. high-income debt securities where at least 65% or more of bond assets are not rated or are rated by a major agency such as Standard & Poor's or Moody's at the level of BB (considered speculative for taxable bonds) and below."
485,High-Yield Funds,"High yield funds may invest in lower quality debt securities, which generally offer higher yields, but also carry more risk."
486,High-Yield Muni,High-yield muni portfolios invest at least 50% of assets in high-income municipal securities that are not rated or that are rated by a major agency such as Standard & Poor's or Moody's at the level of BBB (considered part of the high-yield universe within the municipal industry) and below.
487,Historical Fund Information,Information detailing a fund's historical changes and announcements.
488,Historical Fund Performance,Provides a measure of a fund's returns over time. Cap gains and dividends shown are per share amounts and net assets represent total assets on the last business day of each year.
489,Inception Date,The date on which the fund commenced operations.
490,Income Annuity,"With an income annuity, an insurance company will provide you with an income guaranteed for as long as you live in return for a lump sum purchase. Your income represents a combination of both interest and principal. Once payments begin, no withdrawals or surrenders are allowed. There are fixed and variable income annuities.A fixed income annuity can provide you with a source of income that includes principal and earnings. Earnings continue to grow at a fixed rate of return on the remaining balance. The amount of income you receive is based on the performance of a specified portfolio in which your lump sum is invested. A variable income annuity turns the growth from the portfolio into an immediate source of income.A variable income annuity can provide you with a source of income which has the potential to increase to help you keep pace with inflation. The amount of income you receive is based on the performance of portfolios you can choose, many of which are equity based portfolios to help you keep pace with inflation. A variable income annuity turns the growth from equity based portfolios into an immediate source of income.."
491,Income Fund,A fund that primarily seeks current income rather than capital appreciation.
492,Income/Distributions,"For tax purposes, a mutual fund generally passes along dividends and interest it receives from securities it owns. A fund also passes along your share of the profits it makes when it sells securities for a higher price than it paid for them. You may choose to have these distributions sent to you or you may want to reinvest them. Distributions are subject to federal tax, and may also be subject to state or local taxes. Your distributions are taxable when they are paid, whether you take them in cash or reinvest them."
494,Index Funds,"A mutual fund that attempts to match the results of a specific index, such as the S&P 500®. Most index funds are passively managed and have lower turnover rates than actively managed mutual funds, which can help keep fees lower."
495,India Equity,India-stock portfolios emphasize companies based in India. These portfolios invest at least 70% of total assets in equities and invest at least 75% of stock assets in India.
496,Industrials,"Industrial portfolios seek capital appreciation by investing in equity securities of U.S. or non-U.S. companies that are engaged in services related to cyclical industries. This includes and is not limited to companies in aerospace and defense, automotive, chemicals, construction, environmental services, machinery, paper, and transportation."
497,Inflation,The overall general upward price movement of goods and services in an economy. Inflation is one of the major risks to investors over the long term because it erodes the purchasing power of their savings.
498,Inflation Risk,The chance that the value of assets or income will be diminished as inflation shrinks the value of a currency.
499,Inflation-Protected Bond,"Inflation-protected bond portfolios invest primarily in debt securities that adjust their principal values in line with the rate of inflation. These bonds can be issued by any organization, but the U.S. Treasury is currently the largest issuer for these types of securities."
502,Interest Rate Risk,The possibility that a bond's or bond fund's market value will decrease due to rising interest rates.
503,Interest Rate Sensitivity,"Also known as duration, it's the degree to which a bond or bond fund reacts to changes in the interest rate environment."
504,Intermediate Government,"Intermediate-government portfolios have at least 90% of their bond holdings in bonds backed by the U.S. government or by government-linked agencies. This backing minimizes the credit risk of these portfolios, as the U.S. government is unlikely to default on its debt. These portfolios have durations typically between 3.5 and 6.0 years. Consequently, the group's performance--and its level of volatility--tends to fall between that of the short government and long government bond categories. Morningstar calculates monthly breakpoints using the effective duration of the Morningstar Core Bond Index in determining duration assignment. Intermediate is defined as 75% to 125% of the three-year average effective duration of the MCBI."
505,Intermediate-Term Bond,"Intermediate-term bond portfolios invest primarily in corporate and other investment-grade U.S. fixed-income issues and typically have durations of 3.5 to 6.0 years. These portfolios are less sensitive to interest rates, and therefore less volatile, than portfolios that have longer durations. Morningstar calculates monthly breakpoints using the effective duration of the Morningstar Core Bond Index in determining duration assignment. Intermediate-term is defined as 75% to 125% of the three-year average effective duration of the MCBI."
506,International Fund,A fund that invests primarily in the securities of companies located outside the United States.
507,International Monetary Fund (IMF),"The International Monetary Fund (IMF) is an organization of nearly 200 countries, working to foster global monetary cooperation, secure financial stability, facilitate international trade, promote high employment and sustainable economic growth, and reduce poverty around the world."
508,Investment Adviser,A person or organization employed by a mutual fund or an individual to give professional advice on investments and asset management practices.
509,Investment Company,"An entity that pools the assets of shareholders and invests in securities that meet stated investment objectives for individual or institutional clients. The most common type of investment company is an open-end fund, commonly known as a mutual fund, which continuously offers its shares and will redeem shares at any time at its net asset value."
510,Investment Grade or Investment Grade Bond,"The broad credit designation given to corporate and municipal bonds which have a high probability of being paid and minor, if any, speculative features. Bonds rated Baa and higher by Moody's Investors Service or BBB and higher by Standard & Poor's are deemed by those agencies to be ""investment grade."
511,Investment Manager,"A fiduciary, usually a bank, insurance company, or registered investment adviser, with the power to manage, acquire or dispose of specified assets."
512,Investment Objective,"The stated goal that an investment option seeks to achieve, such as growth or income."
513,Investment Return,"The gain or loss on an investment over a certain period, expressed as a percentage. Income and capital gains are included in calculating the investment return."
514,Investment Risk,The possibility of losing some or all of the amounts invested or not gaining value in an investment.
515,Issue Date,The date on which a security is deemed to be issued or originated.
516,Issuer,"Generally, the issuer of a mutual fund is the fund or trust which issues the shares; the issuer of a collective investment trust is the underlying trust or investment vehicle which issues the units; the issuer of a stock fund is the company which issues the shares; the issuer of investment options such as separate accounts and strategies is the plan which makes them available; the issuer of a fixed return option is the insurance company or other company which offers the investment; and the issuer of an annuity contract is the insurance company and/or the insurance company separate account."
517,Japan Stock,"Japan-stock portfolios emphasize companies based in Japan. The Japanese stock market is one of the largest in the world, so these portfolios' holdings vary significantly. Some portfolios concentrate on Japan's larger companies, while others concentrate on the nation's smaller firms. These portfolios invest at least 70% of total assets in equities and invest at least 75% of stock assets in Japan."
518,Junk Bond,"A bond rated lower than Baa/BBB, also called a ""high-yield"" bond. Junk bonds are speculative compared with investment grade bonds."
519,Large Blend,"Large-blend portfolios are fairly representative of the overall U.S. stock market in size, growth rates, and price. Stocks in the top 70% of the capitalization of the U.S. equity market are defined as large cap. The blend style is assigned to portfolios where neither growth nor value characteristics predominate. These portfolios tend to invest across the spectrum of U.S. industries, and owing to their broad exposure, the portfolios' returns are often similar to those of the S&P 500 Index."
520,Large Cap Stocks,"Stocks of companies with a large market capitalization. Large caps tend to be well-established companies, so their stocks typically entail less risk than smaller caps, but large-caps also offer less potential for dramatic growth."
521,Large Capitalization (Cap),A reference to either a large company stock or mutual fund that invests in the stocks of large companies. A company is generally considered to be a large capitalization stock when it has a total value or market capitalization (dollar value of outstanding shares) of at least $10 billion.
522,Large Growth,"Large-growth portfolios invest primarily in big U.S. companies that are projected to grow faster than other large-cap stocks. Stocks in the top 70% of the capitalization of the U.S. equity market are defined as large cap. Growth is defined based on fast growth (high growth rates for earnings, sales, book value, and cash flow) and high valuations (high price ratios and low dividend yields). Most of these portfolios focus on companies in rapidly expanding industries."
523,Large Value,"Large-value portfolios invest primarily in big U.S. companies that are less expensive or growing more slowly than other large-cap stocks. Stocks in the top 70% of the capitalization of the U.S. equity market are defined as large cap. Value is defined based on low valuations (low price ratios and high dividend yields) and slow growth (low growth rates for earnings, sales, book value, and cash flow)."
524,Latin America Stock,"Latin America stock portfolios invest almost exclusively in stocks from Latin America. Most of these portfolios strongly favor the area's large markets, specifically Brazil, Mexico, and Argentina. Smaller markets such as Peru or Colombia aren't generally as well-represented in these portfolios. These portfolios invest at least 70% of total assets in equities and invest at least 75% of stock assets in Latin America."
525,Leveraged Net Long,"Leveraged net long portfolios seek income by establishing long and short positions in securities. The most common strategy for leveraged net long portfolios is to take long positions in securities that have been identified as attractive and short positions in securities that have been identified as overvalued. These portfolios typically hold long positions in securities with an aggregate value of up to 130% of its net assets. In addition, these portfolios will establish short positions in securities with a market value of up to 30% of its net assets. The net long exposure therefore remains 100%, but it is a leveraged exposure. This category is only used in Morningstar's custom fund and separate account databases."
526,Lifecycle Fund,A fund designed to provide varying degrees of long-term appreciation and capital preservation based on an investor's age or target retirement date through a mix of asset classes. The mix changes over time to become less focused on growth and more focused on income. Also known as a target date fund.
527,Lifestyle Fund,"A fund that is designed to maintain a predetermined risk level and generally uses words such as ""conservative,"" ""moderate,"" or ""aggressive"" in its name to indicate the fund's risk level. Used interchangeably with ""target risk fund""."
528,Lipper,"Lipper Analytical Services, Inc. is a nationally recognized organization that reports on mutual fund total return performance and calculates fund rankings."
529,Lipper Balanced Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper Balanced Funds Average is comprised of funds whose primary objective is to conserve principal by maintaining at all times a balanced portfolio of both stocks and bonds. Typically, the stock/bond ratio ranges around 60%/40%."
530,Lipper CA Municipal Debt Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper CA Municipal Debt Funds Average is comprised of funds that limit their assets to those securities that are exempt from taxation in California (double tax exempt)."
531,Lipper Capital Appreciation Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper Capital Appreciation Funds Average is comprised of funds that aim at maximum capital appreciation, frequently by means of 100% or more portfolio turnover, leveraging, purchasing unregistered securities, purchasing options, etc. These funds may take large cash positions."
532,Lipper Convertible Securities Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper Convertible Securities Funds Average is comprised of funds that invest primarily in convertible bonds and/or convertible preferred stock."
533,Lipper Corporate Debt Funds A-Rated Average,The Lipper Corporate A-Rated Funds Average reflects the performance of mutual funds with similar objectives tracked by Lipper Inc. and excludes the effect of sales charges.
534,Lipper Corporate Debt Funds BBB-Rated Average,The Lipper Corporate BBB Funds Average reflects the performance of mutual funds with similar objectives tracked by Lipper Inc. and excludes the effect of sales charges.
535,Lipper Emerging Markets Debt Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper Emerging Markets Debt Funds Average is comprised of funds that seek either current income or total return by investing primarily in emerging market debt securities, where ""emerging market"" is defined by a country's gross national product per capita or other economic measures."
536,Lipper Emerging Markets Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper Emerging Markets Funds Average is comprised of funds that seek long-term capital appreciation by investing primarily in emerging market equity securities, where ""emerging market"" is defined by a country's gross national product per capita or other economic measures."
537,Lipper Equity Income Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper Equity Income Funds Average is comprised of funds that seek relatively high current income and growth of income through investing 60% or more of their portfolios in equities."
538,Lipper European Region Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper European Region Funds Average is comprised of funds that concentrate their investments in equity securities whose primary trading markets or operations are concentrated in the European region or in a single country within this region."
539,Lipper Flexible Portfolio Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper Flexible Portfolio Funds Average is comprised of funds that allocate their investments across various asset classes, including domestic common stocks, bonds, and money market instruments with a focus on total return."
540,Lipper Funds Averages,"Lipper Analytical Services, Inc., is a nationally recognized organization that uses mutual fund total return performance to calculate a fund's rankings against its peer averages, or universes of funds with similar investment objectives."
541,Lipper General Bond Funds Average,The Lipper General Bond Funds Average reflects the performance of mutual funds with similar objectives tracked by Lipper Inc. and excludes the effect of sales charges.
542,Lipper General Municipal Debt Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper General Municipal Debt Funds Average is comprised of funds that invest primarily in municipal debt issues in the top four credit ratings."
543,Lipper General U.S. Government Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper General U.S. Government Funds Average is comprised of funds that invest primarily in securities issued by U.S. government or U.S. government agencies."
544,Lipper General U.S. Treasury Funds Average,The Lipper General U.S. Treasury Funds Average reflects the performance of mutual funds with similar objectives tracked by Lipper Inc. and excludes the effect of sales charges.
545,Lipper Global Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper Global Funds Average is comprised of funds that invest at least 25% of their portfolios in securities traded outside of the United States and that may own U.S. securities as well."
546,Lipper Global Income Funds Average,"The Lipper Global Income Fund Average is a total return performance average of funds tracked by Lipper, Inc. that invest primarily in U.S. dollar and non-U.S. dollar debt securities of issuers located in at least three countries, one of which may be the United States. It does not reflect deductions for fees, expenses or taxes."
547,Lipper Global Large-Cap Growth Funds Average,The Lipper Global Large-Cap Growth Funds Average reflects the performance of mutual funds with similar portfolio characteristics and capitalization tracked by Lipper Inc. and excludes the effect of sales charges.
548,Lipper Global Small-Cap Funds Average,The Lipper Global Small-Cap Funds Average reflects the performance of mutual funds with similar portfolio characteristics and capitalization tracked by Lipper Inc. and excludes the effect of sales charges.
549,Lipper GNMA Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper GNMA Funds Average is comprised of funds that invest primarily in Government National Mortgage Association securities."
550,Lipper Growth & Income Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper Growth & Income Funds Average is comprised of funds that combine a growth-of-earnings orientation and an income requirement for level and/or rising dividends."
551,Lipper Growth Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper Growth Funds Average is comprised of funds that invest in companies with long-term earnings expected to grow significantly faster than the earnings of the stocks represented in the major unmanaged stock indices."
552,Lipper High Current Yield Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper High Current Yield Funds Average is comprised of funds that seek high (relative) current yield from fixed income securities, have no quality or maturity restrictions, and tend to invest in lower grade debt securities."
553,Lipper Income Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper Income Funds Average is comprised of funds that normally seek a high level of current income through investing in income-producing stocks, bonds, and money market instruments."
554,Lipper Intermediate Investment Grade Debt Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper Intermediate Investment Grade Debt Funds Average is comprised of funds that invest primarily in investment grade debt issues (rated in top four grades) with dollar-weighted average maturities of 5 -10 years."
555,Lipper Intermediate Municipal Debt Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper Intermediate Municipal Debt Funds Average is comprised of funds that invest in municipal debt issues with dollar-weighted average maturities of 5 - 10 years."
556,Lipper International Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper International Funds Average is comprised of funds that invest in securities with primary trading markets outside of the United States."
557,Lipper International Income Funds Average,The Lipper Intl Income Funds Average reflects the performance of mutual funds with similar objectives tracked by Lipper Inc. and excludes the effect of sales charges.
558,Lipper International Large-Cap Growth Funds Average,The Lipper International Large-Cap Growth Funds Average reflects the performance of mutual funds with similar portfolio characteristics and capitalization tracked by Lipper Inc. and excludes the effect of sales charges.
559,Lipper International Large-Cap Value Funds Average,The Lipper International Large-Cap Value Funds Average reflects the performance of mutual funds with similar portfolio characteristics and capitalization tracked by Lipper Inc. and excludes the effect of sales charges.
560,Lipper International Multi-Cap Core Funds Average,The Lipper International Multi-Cap Core Funds Average reflects the performance of mutual funds with similar portfolio characteristics and capitalization tracked by Lipper Inc. and excludes the effect of sales charges.
561,Lipper International Multi-Cap Value Funds Average,The Lipper International Multi-Cap Value Funds Average reflects the performance of mutual funds with similar portfolio characteristics and capitalization tracked by Lipper Inc. and excludes the effect of sales charges.
562,Lipper International Small/Mid-Cap Growth Funds Average,The Lipper International Small/Mid Cap Growth Funds Average reflects the performance of mutual funds with similar objectives tracked by Lipper Inc. and excludes the effect of sales charges.
563,Lipper Japanese Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper Japanese Funds Average is comprised of funds that concentrate their investments in equity securities of Japanese companies."
564,Lipper Large-Cap Core Funds Average,The Lipper Large-Cap Core Funds Average reflects the performance of mutual funds with similar portfolio characteristics and capitalization tracked by Lipper Inc. and excludes the effect of sales charges.
565,Lipper Large-Cap Growth Funds Average,The Lipper Large-Cap Growth Funds Average reflects the performance of mutual funds with similar portfolio characteristics and capitalization tracked by Lipper Inc. and excludes the effect of sales charges.
566,Lipper Large-Cap Value Funds Average,The Lipper Large-Cap Value Funds Average reflects the performance of mutual funds with similar portfolio characteristics and capitalization tracked by Lipper Inc. and excludes the effect of sales charges.
567,Lipper Latin American Funds Average,The Lipper Latin American Funds Average reflects the performance of mutual funds with similar objectives tracked by Lipper Inc. and excludes the effect of sales charges.
568,Lipper MA Municipal Debt Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper MA Municipal Debt Funds Average is comprised of funds that limit their assets to those securities that are exempt from taxation in Massachusetts (double tax exempt)."
569,Lipper Mid Cap Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper Mid-Cap Funds Average is comprised of funds that invest primarily in companies with market capitalizations less than $5 billion at the time of purchase."
570,Lipper Mid-Cap Core Funds Average,The Lipper Mid-Cap Core Funds Average reflects the performance of mutual funds with similar portfolio characteristics and capitalization tracked by Lipper Inc. and excludes the effect of sales charges.
571,Lipper Mid-Cap Growth Funds Average,The Lipper Mid-Cap Growth Funds Average reflects the performance of mutual funds with similar portfolio characteristics and capitalization tracked by Lipper Inc. and excludes the effect of sales charges.
572,Lipper Mixed-Asset Target 2010 Average,The Lipper Mixed-Asset Target 2010 Average reflects the performance of mutual funds with similar portfolio characteristics and capitalization tracked by Lipper Inc. and excludes the effect of sales charges.
573,Lipper Mixed-Asset Target 2020 Average,The Lipper Mixed-Asset Target 2020 Average reflects the performance of mutual funds with similar portfolio characteristics and capitalization tracked by Lipper Inc. and excludes the effect of sales charges.
574,Lipper Mixed-Asset Target 2030 Average,The Lipper Mixed-Asset Target 2030 Average reflects the performance of mutual funds with similar portfolio characteristics and capitalization tracked by Lipper Inc. and excludes the effect of sales charges.
575,Lipper Mixed-Asset Target 2040 Average,The Lipper Mixed-Asset Target 2040 Average reflects the performance of mutual funds with similar portfolio characteristics and capitalization tracked by Lipper Inc. and excludes the effect of sales charges.
576,Lipper Mixed-Asset Target 2050 Average,The Lipper Mixed-Asset Target 2050 Average reflects the performance of mutual funds with similar portfolio characteristics and capitalization tracked by Lipper Inc. and excludes the effect of sales charges.
577,Lipper Money Market Instrument Funds Average,Includes funds that invest in high quality financial instruments rated in top two grades with dollar-weighted average maturities of less than 90 days. Intend to keep constant net asset value.
578,Lipper Multi-Cap Core Funds Average,The Lipper Multi-Cap Core Funds Average reflects the performance of mutual funds with similar portfolio characteristics and capitalization tracked by Lipper Inc. and excludes the effect of sales charges.
579,Lipper Multi-Cap Growth Funds Average,The Lipper Multi-Cap Growth Funds Average reflects the performance of mutual funds with similar portfolio characteristics and capitalization tracked by Lipper Inc. and excludes the effect of sales charges.
580,Lipper Multi-Sector Income Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper Multi-Sector Income Funds Average is comprised of funds that seek current income by allocating assets among different fixed income securities sectors (not primarily one sector except for defensive purposes) including U.S. & foreign governments with a significant portion rated below investment grade."
581,Lipper NY Municipal Debt Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper NY Municipal Debt Funds Average is comprised of funds that limit their assets to those securities that are exempt from taxation in New York (double tax exempt)."
582,Lipper Pacific ex Japan Funds Average,The Lipper Pacific Region ex Japan Funds Average reflects the performance of mutual funds with similar objectives tracked by Lipper Inc. and excludes the effect of sales charges.
583,Lipper Pacific Region Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper Pacific Region Funds Average is comprised of funds that concentrate their investments in equity securities with primary trading markets or operations concentrated in the western Pacific Basin region or a single country within this region."
584,Lipper Ranking,Fund ranking calculated quarterly or annually by Lipper Analytical Services. Each fund is ranked within a universe of funds similar in investment objective.
585,Lipper Real Estate Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper Real Estate Funds Average is comprised of funds that invest primarily in equity securities of domestic and foreign companies engaged in the real estate industry."
586,Lipper S&P 500®Index Objective Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper S&P 500®Index Objective Funds Average is comprised of passively managed, limited-expense (management fee no higher than 0.50%) fund designed to replicate the performance of the Standard & Poor's 500 Index on a reinvested basis."
587,Lipper Short Investment Grade Debt Funds,The Lipper Short Investment Grade Funds Average reflects the performance of mutual funds with similar objectives tracked by Lipper Inc. and excludes the effect of sales charges.
588,Lipper Short Investment Grade Debt Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper Short Investment Grade Debt Funds Average is comprised of funds that invest primarily in investment grade debt issues (rated in top four grades) with dollar-weighted average maturities of less than 1 year."
589,Lipper Short-Intermediate Investment Grade Debt Funds,"The Lipper Short Intermediate Investment Grade Debt Fund Average is a total return performance average of funds tracked by Lipper, Inc. that invest at least 65% of their assets in investment-grade debt issues (rated in the top four grades) with dollar-weighted average maturities of one to five years. It does not reflect deductions for fees, expenses or taxes."
590,Lipper Short-Intermediate Investment Grade Debt Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper Short-Intermediate Investment Grade Debt Funds Average is comprised of funds that invests primarily in investment grade debt issues (rated in top four grades) with dollar-weighted average maturities of 1 -5 years."
591,Lipper Short-Intermediate Municipal Debt Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper Short-Intermediate Municipal Debt Funds Average is comprised of funds that invest in municipal debt issues with dollar-weighted average maturities of 1 - 5 years."
592,Lipper Short-Intermediate U.S. Government Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper Short-Intermediate U.S. Government Funds Average is comprised of funds that invest primarily in securities issued or guaranteed by the U.S. government, its agencies, or its instrumentalities, with dollar-weighted averages maturities of 1 - 5 years."
593,Lipper Small Cap Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper Small Cap Funds Average is comprised of funds that invest primarily in companies with market capitalizations less than $1 billion at the time of purchase."
594,Lipper Small-Cap Core Funds Average,The Lipper Small-Cap Core Funds Average reflects the performance of mutual funds with similar portfolio characteristics and capitalization tracked by Lipper Inc. and excludes the effect of sales charges.
595,Lipper Small-Cap Growth Funds Average,The Lipper Small-Cap Growth Funds Average reflects the performance of mutual funds with similar portfolio characteristics and capitalization tracked by Lipper Inc. and excludes the effect of sales charges.
596,Lipper Small-Cap Value Funds Average,The Lipper Small-Cap Value Funds Average reflects the performance of mutual funds with similar portfolio characteristics and capitalization tracked by Lipper Inc. and excludes the effect of sales charges.
597,Lipper Telecommunication Funds,The Lipper Telecommunication Funds Average reflects the performance of mutual funds with similar objectives tracked by Lipper Inc. and excludes the effect of sales charges.
598,Lipper Telecommunication Funds Average,The Lipper Telecommunication Funds Average reflects the performance of mutual funds with similar objectives tracked by Lipper Inc. and excludes the effect of sales charges.
599,Lipper U.S. Government Money Market Funds,The Lipper U.S. Govt MM Funds Average reflects the performance of mutual funds with similar objectives tracked by Lipper Inc. and excludes the effect of sales charges.
600,Lipper U.S. Government Money Market Funds Average,The Lipper U.S. Govt MM Funds Average reflects the performance of mutual funds with similar objectives tracked by Lipper Inc. and excludes the effect of sales charges.
601,Lipper U.S. Mortgage Funds Average,The Lipper U.S. Mortgage Funds Average reflects the performance of mutual funds with similar objectives tracked by Lipper Inc. and excludes the effect of sales charges.
602,Lipper Ultra Short Obligation Funds,The Lipper Ultra Short Obligation Funds Average reflects the performance of mutual funds with similar objectives tracked by Lipper Inc. and excludes the effect of sales charges.
603,Lipper Ultra Short Obligation Funds Average,"Lipper Analytics, Inc. calculates peer averages based on universes of funds with the same investment objective. The Lipper Ultra Short Obligation Funds Average is comprised of funds that invest primarily in debt issues with ratings of investment grade or better, and maintain a portfolio dollar-weighted average maturity between 91 days and 365 days."
604,Liquidity,The ability to buy or sell an asset quickly or the ability to convert to cash quickly.
605,Load,A sales charge added to the price of the fund that must be paid at the time of purchase. Mutual funds that don't have any sales charges are called no-load funds.  Not all funds charge a load; check a mutual fund's prospectus for more details.
606,Load-Adjusted Return,"These total returns represent the change in share price and include the reinvestment of all dividends and capital gains, if any, and are adjusted downward to account for sales charges and redemption fees. Returns are listed for the trailing one-, three-, five-, and 10-year periods. For funds with front-end loads, the full amount of the load is deducted. For deferred or back-end loads, the percentage charged often declines the longer shares are held. This charge, often coupled with a 12b-1 fee, usually disappears entirely after several years. Click on a fund name for more information."
607,Long Bond,"The 30-year bond is the longest maturity issued by the U.S. Treasury. It is also the most widely traded bond, not only in the United States but worldwide. Because it is such a key security, the most recently issued 30-year Treasury bond, known as the ""long bond"", is viewed as the benchmark against which all other bonds are measured."
608,Long Government,"Long-government portfolios have at least 90% of their bond holdings invested in bonds backed by the U.S. government or by government-linked agencies. This backing minimizes the credit risk of these portfolios, as the U.S. government is unlikely to default on its debt. They are not risk-free, though. Because these portfolios have durations of typically more than 6.0 years, they are more sensitive to interest rates, and thus riskier, than portfolios that have shorter durations. Morningstar calculates monthly breakpoints using the effective duration of the Morningstar Core Bond Index in determining duration assignment. Long term is defined as 125% of the three-year average effective duration of the MCBI."
609,Long-Short Equity,Long-short portfolios hold sizable stakes in both long and short positions in equities and related derivatives. Some funds that fall into this category will shift their exposure to long and short positions depending on their macro outlook or the opportunities they uncover through bottom up research. Some funds may simply hedge long stock positions through exchange-traded funds or derivatives. At least 75% of the assets are in equity securities or derivatives.
610,Long-Term Bond,"Long-term bond portfolios invest primarily in corporate and other investment-grade U.S. fixed income issues and typically have durations of more than 6.0 years. Because of their long durations, these portfolios are exposed to greater interest-rate risk. Morningstar calculates monthly breakpoints using the effective duration of the Morningstar Core Bond Index in determining duration assignment. Long-term is defined as 125% of the three-year average effective duration of the MCBI."
